"primera","segunda","tercera","day","moth","year"
"64","38","15","19","8","2020"
"78","15","19","18","8","2020"
"89","38","4","17","8","2020"
"16","10","1","16","8","2020"
"16","10","1","15","8","2020"
"96","78","88","14","8","2020"
"80","11","28","13","8","2020"
"99","56","92","12","8","2020"
"23","49","98","11","8","2020"
"59","39","47","10","8","2020"
"83","8","54","9","8","2020"
"24","61","47","8","8","2020"
"44","23","33","7","8","2020"
"55","53","14","6","8","2020"
"69","22","83","5","8","2020"
"27","85","22","4","8","2020"
"41","11","80","3","8","2020"
"75","57","40","2","8","2020"
"9","3","70","1","8","2020"
"37","47","46","31","7","2020"
"11","91","57","30","7","2020"
"99","55","2","29","7","2020"
"0","6","25","28","7","2020"
"89","2","17","27","7","2020"
"3","74","48","26","7","2020"
"55","28","95","25","7","2020"
"36","77","0","24","7","2020"
"21","45","92","23","7","2020"
"18","71","73","22","7","2020"
"66","35","12","21","7","2020"
"56","41","20","20","7","2020"
"90","15","6","19","7","2020"
"51","46","88","18","7","2020"
"57","6","85","17","7","2020"
"45","53","28","16","7","2020"
"60","84","49","15","7","2020"
"10","46","70","14","7","2020"
"61","63","14","13","7","2020"
"43","84","97","12","7","2020"
"15","79","69","11","7","2020"
"26","61","98","10","7","2020"
"54","94","99","9","7","2020"
"77","3","82","8","7","2020"
"36","86","84","7","7","2020"
"83","77","99","6","7","2020"
"23","46","39","5","7","2020"
"23","46","39","4","7","2020"
"78","95","3","3","7","2020"
"12","41","34","2","7","2020"
"37","52","84","1","7","2020"
"54","80","27","30","6","2020"
"89","44","36","29","6","2020"
"80","34","76","28","6","2020"
"72","66","34","27","6","2020"
"94","41","13","26","6","2020"
"49","90","53","25","6","2020"
"39","51","63","24","6","2020"
"6","65","79","23","6","2020"
"50","42","0","22","6","2020"
"18","41","65","21","6","2020"
"36","87","44","20","6","2020"
"93","16","2","19","6","2020"
"18","9","11","18","6","2020"
"60","12","11","17","6","2020"
"95","14","42","16","6","2020"
"70","3","61","15","6","2020"
"24","54","39","14","6","2020"
"94","42","89","13","6","2020"
"52","56","30","12","6","2020"
"95","27","21","11","6","2020"
"71","16","61","10","6","2020"
"43","46","11","9","6","2020"
"32","57","7","8","6","2020"
"32","57","37","7","6","2020"
"5","82","86","6","6","2020"
"81","11","60","5","6","2020"
"4","76","99","4","6","2020"
"48","89","88","3","6","2020"
"55","40","94","2","6","2020"
"55","40","94","1","6","2020"
"55","40","94","31","5","2020"
"55","40","94","30","5","2020"
"55","40","94","29","5","2020"
"55","40","94","28","5","2020"
"55","40","94","27","5","2020"
"55","40","94","26","5","2020"
"55","40","94","25","5","2020"
"55","40","94","24","5","2020"
"55","40","94","23","5","2020"
"55","40","94","22","5","2020"
"55","40","94","21","5","2020"
"55","40","94","20","5","2020"
"55","40","94","19","5","2020"
"55","40","94","18","5","2020"
"55","40","94","17","5","2020"
"55","40","94","16","5","2020"
"55","40","94","15","5","2020"
"55","40","94","14","5","2020"
"55","40","94","13","5","2020"
"55","40","94","12","5","2020"
"55","40","94","11","5","2020"
"55","40","94","10","5","2020"
"55","40","94","9","5","2020"
"55","40","94","8","5","2020"
"55","40","94","7","5","2020"
"55","40","94","6","5","2020"
"55","40","94","5","5","2020"
"55","40","94","4","5","2020"
"55","40","94","3","5","2020"
"55","40","94","2","5","2020"
"55","40","94","1","5","2020"
"55","40","94","30","4","2020"
"55","40","94","29","4","2020"
"55","40","94","28","4","2020"
"55","40","94","27","4","2020"
"55","40","94","26","4","2020"
"55","40","94","25","4","2020"
"55","40","94","24","4","2020"
"55","40","94","23","4","2020"
"55","40","94","22","4","2020"
"55","40","94","21","4","2020"
"55","40","94","20","4","2020"
"55","40","94","19","4","2020"
"55","40","94","18","4","2020"
"55","40","94","17","4","2020"
"55","40","94","16","4","2020"
"55","40","94","15","4","2020"
"55","40","94","14","4","2020"
"55","40","94","13","4","2020"
"55","40","94","12","4","2020"
"55","40","94","11","4","2020"
"55","40","94","10","4","2020"
"55","40","94","9","4","2020"
"55","40","94","8","4","2020"
"55","40","94","7","4","2020"
"55","40","94","6","4","2020"
"55","40","94","5","4","2020"
"55","40","94","4","4","2020"
"55","40","94","3","4","2020"
"55","40","94","2","4","2020"
"55","40","94","1","4","2020"
"55","40","94","31","3","2020"
"55","40","94","30","3","2020"
"55","40","94","29","3","2020"
"55","40","94","28","3","2020"
"55","40","94","27","3","2020"
"55","40","94","26","3","2020"
"55","40","94","25","3","2020"
"55","40","94","24","3","2020"
"55","40","94","23","3","2020"
"55","40","94","22","3","2020"
"55","40","94","21","3","2020"
"55","40","94","20","3","2020"
"55","40","94","19","3","2020"
"55","40","94","18","3","2020"
"77","5","93","17","3","2020"
"37","48","91","16","3","2020"
"62","0","21","15","3","2020"
"62","0","21","14","3","2020"
"92","42","78","13","3","2020"
"52","17","56","12","3","2020"
"86","52","78","11","3","2020"
"70","59","88","10","3","2020"
"93","98","55","9","3","2020"
"24","65","93","8","3","2020"
"7","25","3","7","3","2020"
"1","51","32","6","3","2020"
"41","71","37","5","3","2020"
"93","53","93","4","3","2020"
"96","98","76","3","3","2020"
"44","25","81","2","3","2020"
"99","78","70","1","3","2020"
"64","87","39","29","2","2020"
"61","42","2","28","2","2020"
"74","55","90","27","2","2020"
"74","55","90","26","2","2020"
"24","50","91","25","2","2020"
"90","10","34","24","2","2020"
"74","95","6","23","2","2020"
"92","89","28","22","2","2020"
"35","22","6","21","2","2020"
"2","14","48","20","2","2020"
"95","61","6","19","2","2020"
"15","19","45","18","2","2020"
"62","75","1","17","2","2020"
"94","39","47","16","2","2020"
"94","39","47","15","2","2020"
"13","87","31","14","2","2020"
"65","98","83","13","2","2020"
"5","58","93","12","2","2020"
"96","85","46","11","2","2020"
"19","13","41","10","2","2020"
"31","5","57","9","2","2020"
"14","24","60","8","2","2020"
"55","52","5","7","2","2020"
"9","32","47","6","2","2020"
"60","63","78","5","2","2020"
"37","72","42","4","2","2020"
"92","3","29","3","2","2020"
"9","17","4","2","2","2020"
"98","75","76","1","2","2020"
"56","89","13","31","1","2020"
"97","52","99","30","1","2020"
"44","44","49","29","1","2020"
"9","47","43","28","1","2020"
"98","56","79","27","1","2020"
"50","72","87","26","1","2020"
"16","32","45","25","1","2020"
"1","19","96","24","1","2020"
"97","64","30","23","1","2020"
"11","57","22","22","1","2020"
"38","31","79","21","1","2020"
"38","31","79","20","1","2020"
"15","62","85","19","1","2020"
"98","76","18","18","1","2020"
"93","85","75","17","1","2020"
"11","42","17","16","1","2020"
"64","87","55","15","1","2020"
"82","2","86","14","1","2020"
"26","8","83","13","1","2020"
"86","31","8","12","1","2020"
"20","5","80","11","1","2020"
"40","74","76","10","1","2020"
"47","46","50","9","1","2020"
"31","34","18","8","1","2020"
"69","17","69","7","1","2020"
"65","75","70","6","1","2020"
"25","22","20","5","1","2020"
"17","61","79","4","1","2020"
"10","29","61","3","1","2020"
"2","25","48","2","1","2020"
"11","88","47","1","1","2020"
"11","88","47","31","12","2019"
"11","88","47","30","12","2019"
"79","38","95","29","12","2019"
"89","10","35","28","12","2019"
"10","6","81","27","12","2019"
"14","39","43","26","12","2019"
"73","89","3","25","12","2019"
"73","89","3","24","12","2019"
"73","89","3","23","12","2019"
"21","78","62","22","12","2019"
"19","98","80","21","12","2019"
"85","63","26","20","12","2019"
"18","66","11","19","12","2019"
"81","36","22","18","12","2019"
"91","16","33","17","12","2019"
"72","20","23","16","12","2019"
"51","73","24","15","12","2019"
"52","8","32","14","12","2019"
"43","54","72","13","12","2019"
"12","94","94","12","12","2019"
"13","27","42","11","12","2019"
"93","15","97","10","12","2019"
"17","59","46","9","12","2019"
"84","78","96","8","12","2019"
"12","88","14","7","12","2019"
"86","88","30","6","12","2019"
"53","4","87","5","12","2019"
"15","62","14","4","12","2019"
"18","93","79","3","12","2019"
"28","94","48","2","12","2019"
"30","58","8","1","12","2019"
"62","99","16","30","11","2019"
"4","14","70","29","11","2019"
"21","75","23","28","11","2019"
"96","59","45","27","11","2019"
"53","68","79","26","11","2019"
"55","29","63","25","11","2019"
"62","28","38","24","11","2019"
"49","58","82","23","11","2019"
"41","16","58","22","11","2019"
"59","73","90","21","11","2019"
"1","8","41","20","11","2019"
"65","20","24","19","11","2019"
"39","82","29","18","11","2019"
"22","42","96","17","11","2019"
"70","12","34","16","11","2019"
"54","8","90","15","11","2019"
"22","2","26","14","11","2019"
"63","90","65","13","11","2019"
"65","24","5","12","11","2019"
"94","82","70","11","11","2019"
"86","30","48","10","11","2019"
"88","95","30","9","11","2019"
"12","41","94","8","11","2019"
"57","21","99","7","11","2019"
"81","91","29","6","11","2019"
"37","97","9","5","11","2019"
"99","62","94","4","11","2019"
"30","62","18","3","11","2019"
"6","99","30","2","11","2019"
"76","21","53","1","11","2019"
"67","82","31","31","10","2019"
"16","21","30","30","10","2019"
"69","38","44","29","10","2019"
"81","77","38","28","10","2019"
"5","19","89","27","10","2019"
"89","3","25","26","10","2019"
"53","58","15","25","10","2019"
"31","27","48","24","10","2019"
"30","38","32","23","10","2019"
"35","51","36","22","10","2019"
"29","7","70","21","10","2019"
"55","71","64","20","10","2019"
"50","11","35","19","10","2019"
"86","17","96","18","10","2019"
"9","99","75","17","10","2019"
"84","57","23","16","10","2019"
"17","30","75","15","10","2019"
"76","72","68","14","10","2019"
"31","61","66","13","10","2019"
"77","98","53","12","10","2019"
"67","35","4","11","10","2019"
"95","17","23","10","10","2019"
"30","43","3","9","10","2019"
"33","71","31","8","10","2019"
"53","64","85","7","10","2019"
"94","94","44","6","10","2019"
"31","63","20","5","10","2019"
"64","58","20","4","10","2019"
"0","45","43","3","10","2019"
"3","69","69","2","10","2019"
"66","58","21","1","10","2019"
"95","32","11","30","9","2019"
"50","75","46","29","9","2019"
"91","77","59","28","9","2019"
"78","54","57","27","9","2019"
"59","18","65","26","9","2019"
"37","87","76","25","9","2019"
"23","14","63","24","9","2019"
"23","14","63","23","9","2019"
"83","28","61","22","9","2019"
"45","20","72","21","9","2019"
"42","17","14","20","9","2019"
"39","22","57","19","9","2019"
"96","96","76","18","9","2019"
"91","74","5","17","9","2019"
"10","57","13","16","9","2019"
"68","83","62","15","9","2019"
"76","80","99","14","9","2019"
"32","87","31","13","9","2019"
"5","29","13","12","9","2019"
"57","97","55","11","9","2019"
"57","49","34","10","9","2019"
"58","86","29","9","9","2019"
"97","92","6","8","9","2019"
"51","55","57","7","9","2019"
"24","74","15","6","9","2019"
"92","74","82","5","9","2019"
"69","8","64","4","9","2019"
"47","86","15","3","9","2019"
"49","93","82","2","9","2019"
"14","77","57","1","9","2019"
"58","13","58","31","8","2019"
"77","71","76","30","8","2019"
"10","8","51","29","8","2019"
"69","70","33","28","8","2019"
"93","56","65","27","8","2019"
"42","81","38","26","8","2019"
"28","13","26","25","8","2019"
"11","36","35","24","8","2019"
"34","20","49","23","8","2019"
"65","40","82","22","8","2019"
"47","57","37","21","8","2019"
"57","69","44","20","8","2019"
"91","30","37","19","8","2019"
"5","81","88","18","8","2019"
"26","52","15","17","8","2019"
"56","92","47","16","8","2019"
"56","92","47","15","8","2019"
"47","86","44","14","8","2019"
"76","21","73","13","8","2019"
"79","12","35","12","8","2019"
"58","72","21","11","8","2019"
"60","1","5","10","8","2019"
"54","16","14","9","8","2019"
"16","58","90","8","8","2019"
"28","99","38","7","8","2019"
"89","89","45","6","8","2019"
"82","68","67","5","8","2019"
"19","50","25","4","8","2019"
"76","43","63","3","8","2019"
"28","21","92","2","8","2019"
"54","45","85","1","8","2019"
"0","43","95","31","7","2019"
"58","81","21","30","7","2019"
"14","60","25","29","7","2019"
"59","21","17","28","7","2019"
"71","27","34","27","7","2019"
"69","99","31","26","7","2019"
"69","90","49","25","7","2019"
"70","31","17","24","7","2019"
"80","84","18","23","7","2019"
"87","66","51","22","7","2019"
"55","7","87","21","7","2019"
"60","6","34","20","7","2019"
"28","48","31","19","7","2019"
"50","37","47","18","7","2019"
"11","54","17","17","7","2019"
"10","27","19","16","7","2019"
"72","71","20","15","7","2019"
"63","48","46","14","7","2019"
"98","92","54","13","7","2019"
"54","59","44","12","7","2019"
"61","31","20","11","7","2019"
"80","70","59","10","7","2019"
"40","93","99","9","7","2019"
"26","58","64","8","7","2019"
"13","39","59","7","7","2019"
"91","52","91","6","7","2019"
"51","73","43","5","7","2019"
"59","29","82","4","7","2019"
"11","82","90","3","7","2019"
"44","7","11","2","7","2019"
"38","14","84","1","7","2019"
"30","96","58","30","6","2019"
"98","88","22","29","6","2019"
"81","66","48","28","6","2019"
"70","58","48","27","6","2019"
"41","74","90","26","6","2019"
"53","0","51","25","6","2019"
"69","80","55","24","6","2019"
"53","53","4","23","6","2019"
"21","24","87","22","6","2019"
"75","79","94","21","6","2019"
"80","94","7","20","6","2019"
"19","23","22","19","6","2019"
"46","58","21","18","6","2019"
"55","50","37","17","6","2019"
"78","60","89","16","6","2019"
"34","68","68","15","6","2019"
"90","19","79","14","6","2019"
"67","60","3","13","6","2019"
"21","97","51","12","6","2019"
"65","13","88","11","6","2019"
"49","99","86","10","6","2019"
"63","26","61","9","6","2019"
"52","73","56","8","6","2019"
"43","91","83","7","6","2019"
"22","50","27","6","6","2019"
"75","46","54","5","6","2019"
"76","4","89","4","6","2019"
"70","87","93","3","6","2019"
"84","54","45","2","6","2019"
"62","17","60","1","6","2019"
"86","61","53","31","5","2019"
"56","49","30","30","5","2019"
"16","56","74","29","5","2019"
"31","57","77","28","5","2019"
"4","90","38","27","5","2019"
"31","55","14","26","5","2019"
"75","87","43","25","5","2019"
"57","15","37","24","5","2019"
"20","12","11","23","5","2019"
"88","36","40","22","5","2019"
"17","6","37","21","5","2019"
"7","61","32","20","5","2019"
"93","47","11","19","5","2019"
"4","67","72","18","5","2019"
"31","2","10","17","5","2019"
"24","15","97","16","5","2019"
"56","8","7","15","5","2019"
"41","47","15","14","5","2019"
"26","63","91","13","5","2019"
"5","15","67","12","5","2019"
"58","45","26","11","5","2019"
"97","21","45","10","5","2019"
"1","73","92","9","5","2019"
"26","62","4","8","5","2019"
"53","16","58","7","5","2019"
"35","70","94","6","5","2019"
"35","56","34","5","5","2019"
"78","62","17","4","5","2019"
"51","34","95","3","5","2019"
"40","94","1","2","5","2019"
"48","26","74","1","5","2019"
"96","36","95","30","4","2019"
"70","59","72","29","4","2019"
"6","63","14","28","4","2019"
"4","21","77","27","4","2019"
"46","28","40","26","4","2019"
"59","5","24","25","4","2019"
"78","94","51","24","4","2019"
"82","68","41","23","4","2019"
"50","54","45","22","4","2019"
"85","17","99","21","4","2019"
"21","47","68","20","4","2019"
"21","47","68","19","4","2019"
"21","47","68","18","4","2019"
"21","47","68","17","4","2019"
"40","42","67","16","4","2019"
"17","43","5","15","4","2019"
"58","62","86","14","4","2019"
"3","81","72","13","4","2019"
"0","75","86","12","4","2019"
"49","55","65","11","4","2019"
"76","31","94","10","4","2019"
"5","98","14","9","4","2019"
"63","82","7","8","4","2019"
"7","5","98","7","4","2019"
"83","97","68","6","4","2019"
"98","4","20","5","4","2019"
"54","80","98","4","4","2019"
"21","38","80","3","4","2019"
"8","15","67","2","4","2019"
"2","30","93","1","4","2019"
"30","79","86","31","3","2019"
"96","75","56","30","3","2019"
"10","3","56","29","3","2019"
"87","6","82","28","3","2019"
"74","1","9","27","3","2019"
"85","99","84","26","3","2019"
"65","21","55","25","3","2019"
"87","33","28","24","3","2019"
"49","21","80","23","3","2019"
"71","77","70","22","3","2019"
"42","3","25","21","3","2019"
"53","95","40","20","3","2019"
"80","70","33","19","3","2019"
"67","95","33","18","3","2019"
"32","6","18","17","3","2019"
"13","78","67","16","3","2019"
"35","39","46","15","3","2019"
"55","48","64","14","3","2019"
"96","71","95","13","3","2019"
"24","96","76","12","3","2019"
"99","36","77","11","3","2019"
"42","98","49","10","3","2019"
"14","12","59","9","3","2019"
"51","78","80","8","3","2019"
"98","96","72","7","3","2019"
"73","11","0","6","3","2019"
"33","62","33","5","3","2019"
"18","4","67","4","3","2019"
"63","26","33","3","3","2019"
"48","3","17","2","3","2019"
"4","3","0","1","3","2019"
"62","81","61","28","2","2019"
"80","87","21","27","2","2019"
"80","87","21","26","2","2019"
"55","11","48","25","2","2019"
"39","55","98","24","2","2019"
"91","13","10","23","2","2019"
"21","76","90","22","2","2019"
"73","77","87","21","2","2019"
"62","47","41","20","2","2019"
"2","67","26","19","2","2019"
"64","74","70","18","2","2019"
"89","12","62","17","2","2019"
"75","34","24","16","2","2019"
"42","52","16","15","2","2019"
"98","94","60","14","2","2019"
"42","19","1","13","2","2019"
